1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000026_gene5948,AZRU01000026_gene5948,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000075_gene4435,AZRU01000075_gene4435,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000003_gene1733,AZRU01000003_gene1733,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000037_gene4391,AZRU01000037_gene4391,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000034_gene441,AZRU01000034_gene441,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000061_gene4056,AZRU01000061_gene4056,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000062_gene1190,AZRU01000062_gene1190,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000021_gene6208,AZRU01000021_gene6208,annotation&nbsp;not&nbsp;available,73.3
1437882.AZRU01000006_gene1470,AZRU01000006_gene1470,annotation&nbsp;not&nbsp;available,73.2
1437882.AZRU01000175_gene987,AZRU01000175_gene987,annotation&nbsp;not&nbsp;available,73.2
1437882.AZRU01000150_gene3865,AZRU01000150_gene3865,annotation&nbsp;not&nbsp;available,73.2
1437882.AZRU01000064_gene7061,AZRU01000064_gene7061,annotation&nbsp;not&nbsp;available,73.2
1437882.AZRU01000085_gene6797,AZRU01000085_gene6797,annotation&nbsp;not&nbsp;available,73.2
1437882.AZRU01000092_gene1298,AZRU01000092_gene1298,annotation&nbsp;not&nbsp;available,73.2
1437882.AZRU01000034_gene408,AZRU01000034_gene408,annotation&nbsp;not&nbsp;available,73.1
1437882.AZRU01000117_gene4312,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,73.1
1437882.AZRU01000091_gene4869,AZRU01000091_gene4869,annotation&nbsp;not&nbsp;available,73.1
1437882.AZRU01000002_gene2412,AZRU01000002_gene2412,annotation&nbsp;not&nbsp;available,73.1
1437882.AZRU01000003_gene1783,AZRU01000003_gene1783,annotation&nbsp;not&nbsp;available,73.1
1437882.AZRU01000011_gene3661,AZRU01000011_gene3661,annotation&nbsp;not&nbsp;available,73.1
1437882.AZRU01000052_gene3819,AZRU01000052_gene3819,annotation&nbsp;not&nbsp;available,73.1
1437882.AZRU01000031_gene90,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,73.1
1437882.AZRU01000016_gene3329,AZRU01000016_gene3329,annotation&nbsp;not&nbsp;available,73.1
1437882.AZRU01000020_gene6122,AZRU01000020_gene6122,annotation&nbsp;not&nbsp;available,73.0
1437882.AZRU01000049_gene5244,AZRU01000049_gene5244,annotation&nbsp;not&nbsp;available,73.0
1437882.AZRU01000064_gene7046,AZRU01000064_gene7046,annotation&nbsp;not&nbsp;available,73.0
1437882.AZRU01000038_gene5454,AZRU01000038_gene5454,annotation&nbsp;not&nbsp;available,73.0
1437882.AZRU01000020_gene6146,AZRU01000020_gene6146,annotation&nbsp;not&nbsp;available,73.0
1437882.AZRU01000006_gene1600,AZRU01000006_gene1600,annotation&nbsp;not&nbsp;available,72.9
1437882.AZRU01000194_gene4324,AZRU01000194_gene4324,annotation&nbsp;not&nbsp;available,72.9
1437882.AZRU01000084_gene6766,AZRU01000084_gene6766,annotation&nbsp;not&nbsp;available,72.9
1437882.AZRU01000040_gene4703,AZRU01000040_gene4703,annotation&nbsp;not&nbsp;available,72.9
1437882.AZRU01000005_gene1409,AZRU01000005_gene1409,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000001_gene2164,AZRU01000001_gene2164,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000056_gene3798,AZRU01000056_gene3798,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000064_gene7070,AZRU01000064_gene7070,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000100_gene4284,AZRU01000100_gene4284,Bacterioferritin,72.8
1437882.AZRU01000037_gene4424,AZRU01000037_gene4424,RNA&nbsp;polymerase-binding&nbsp;transcription&nbsp;factor&nbsp;DksA,72.8
1437882.AZRU01000010_gene626,AZRU01000010_gene626,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000004_gene1932,AZRU01000004_gene1932,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000094_gene1173,cysQ,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000042_gene4580,AZRU01000042_gene4580,annotation&nbsp;not&nbsp;available,72.8
1437882.AZRU01000059_gene4135,AZRU01000059_gene4135,annotation&nbsp;not&nbsp;available,72.7
1437882.AZRU01000005_gene1445,AZRU01000005_gene1445,annotation&nbsp;not&nbsp;available,72.7
1437882.AZRU01000011_gene3637,AZRU01000011_gene3637,annotation&nbsp;not&nbsp;available,72.7
1437882.AZRU01000082_gene6820,AZRU01000082_gene6820,annotation&nbsp;not&nbsp;available,72.7
1437882.AZRU01000037_gene4373,AZRU01000037_gene4373,annotation&nbsp;not&nbsp;available,72.7
1437882.AZRU01000031_gene50,AZRU01000031_gene50,annotation&nbsp;not&nbsp;available,72.7
1437882.AZRU01000036_gene287,AZRU01000036_gene287,annotation&nbsp;not&nbsp;available,72.7
1437882.AZRU01000020_gene6109,AZRU01000020_gene6109,annotation&nbsp;not&nbsp;available,72.6
1437882.AZRU01000021_gene6266,AZRU01000021_gene6266,annotation&nbsp;not&nbsp;available,72.6
1437882.AZRU01000052_gene3818,ureF,Urease&nbsp;accessory&nbsp;protein&nbsp;UreF,72.6
1437882.AZRU01000018_gene6483,AZRU01000018_gene6483,Cytochrome&nbsp;b,72.6
1437882.AZRU01000019_gene6037,aroK,Shikimate&nbsp;kinase,72.6
1437882.AZRU01000016_gene3319,AZRU01000016_gene3319,annotation&nbsp;not&nbsp;available,72.6
1437882.AZRU01000001_gene2013,AZRU01000001_gene2013,annotation&nbsp;not&nbsp;available,72.6
1437882.AZRU01000018_gene6569,AZRU01000018_gene6569,annotation&nbsp;not&nbsp;available,72.5
1437882.AZRU01000005_gene1424,AZRU01000005_gene1424,annotation&nbsp;not&nbsp;available,72.5
1437882.AZRU01000019_gene6072,AZRU01000019_gene6072,annotation&nbsp;not&nbsp;available,72.5
1437882.AZRU01000004_gene1860,AZRU01000004_gene1860,annotation&nbsp;not&nbsp;available,72.5
1437882.AZRU01000002_gene2378,AZRU01000002_gene2378,annotation&nbsp;not&nbsp;available,72.5
1437882.AZRU01000076_gene1144,AZRU01000076_gene1144,annotation&nbsp;not&nbsp;available,72.5
1437882.AZRU01000030_gene129,flgC,annotation&nbsp;not&nbsp;available,72.4
1437882.AZRU01000018_gene6540,AZRU01000018_gene6540,annotation&nbsp;not&nbsp;available,72.4
1437882.AZRU01000023_gene5707,AZRU01000023_gene5707,annotation&nbsp;not&nbsp;available,72.4
1437882.AZRU01000020_gene6106,AZRU01000020_gene6106,annotation&nbsp;not&nbsp;available,72.4
1437882.AZRU01000182_gene6653,AZRU01000182_gene6653,annotation&nbsp;not&nbsp;available,72.4
1437882.AZRU01000019_gene6077,AZRU01000019_gene6077,annotation&nbsp;not&nbsp;available,72.4
1437882.AZRU01000049_gene5235,AZRU01000049_gene5235,annotation&nbsp;not&nbsp;available,72.3
1437882.AZRU01000004_gene1927,AZRU01000004_gene1927,annotation&nbsp;not&nbsp;available,72.3
1437882.AZRU01000005_gene1380,AZRU01000005_gene1380,annotation&nbsp;not&nbsp;available,72.3
1437882.AZRU01000068_gene5034,AZRU01000068_gene5034,annotation&nbsp;not&nbsp;available,72.3
1437882.AZRU01000037_gene4413,panD,Aspartate&nbsp;1-decarboxylase,72.3
1437882.AZRU01000025_gene5850,AZRU01000025_gene5850,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000026_gene5952,AZRU01000026_gene5952,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000046_gene5117,AZRU01000046_gene5117,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000131_gene6665,AZRU01000131_gene6665,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000049_gene5255,AZRU01000049_gene5255,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000011_gene3610,phnD,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000048_gene5178,AZRU01000048_gene5178,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000109_gene3103,AZRU01000109_gene3103,annotation&nbsp;not&nbsp;available,72.2
1437882.AZRU01000020_gene6187,AZRU01000020_gene6187,annotation&nbsp;not&nbsp;available,72.1
1437882.AZRU01000001_gene1978,phoU,Phosphate-specific&nbsp;transport&nbsp;system&nbsp;accessory&nbsp;protein&nbsp;PhoU,72.1
1437882.AZRU01000066_gene6758,AZRU01000066_gene6758,annotation&nbsp;not&nbsp;available,72.1
1437882.AZRU01000211_gene2541,AZRU01000211_gene2541,annotation&nbsp;not&nbsp;available,72.1
1437882.AZRU01000052_gene3826,AZRU01000052_gene3826,annotation&nbsp;not&nbsp;available,72.0
1437882.AZRU01000076_gene1147,AZRU01000076_gene1147,annotation&nbsp;not&nbsp;available,72.0
1437882.AZRU01000003_gene1766,AZRU01000003_gene1766,annotation&nbsp;not&nbsp;available,72.0
1437882.AZRU01000010_gene601,AZRU01000010_gene601,annotation&nbsp;not&nbsp;available,72.0
1437882.AZRU01000014_gene3197,AZRU01000014_gene3197,annotation&nbsp;not&nbsp;available,72.0
1437882.AZRU01000066_gene6723,dinB,DNA&nbsp;polymerase&nbsp;IV,72.0
1437882.AZRU01000001_gene2163,AZRU01000001_gene2163,annotation&nbsp;not&nbsp;available,72.0
1437882.AZRU01000049_gene5234,AZRU01000049_gene5234,annotation&nbsp;not&nbsp;available,72.0
1437882.AZRU01000005_gene1393,AZRU01000005_gene1393,annotation&nbsp;not&nbsp;available,71.9
1437882.AZRU01000032_gene31,AZRU01000032_gene31,annotation&nbsp;not&nbsp;available,71.9
1437882.AZRU01000014_gene3160,AZRU01000014_gene3160,annotation&nbsp;not&nbsp;available,71.9
1437882.AZRU01000012_gene3448,AZRU01000012_gene3448,annotation&nbsp;not&nbsp;available,71.9
1437882.AZRU01000041_gene4515,cmoA,annotation&nbsp;not&nbsp;available,71.9
1437882.AZRU01000016_gene3237,AZRU01000016_gene3237,annotation&nbsp;not&nbsp;available,71.9
1437882.AZRU01000001_gene2014,AZRU01000001_gene2014,annotation&nbsp;not&nbsp;available,71.9
1437882.AZRU01000045_gene4787,AZRU01000045_gene4787,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000086_gene5509,AZRU01000086_gene5509,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000002_gene2462,AZRU01000002_gene2462,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000021_gene6197,AZRU01000021_gene6197,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000014_gene3159,AZRU01000014_gene3159,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000005_gene1463,AZRU01000005_gene1463,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000039_gene4615,prmB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3&nbsp;glutamine&nbsp;methyltransferase,71.8
1437882.AZRU01000001_gene2165,argA,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000066_gene6744,AZRU01000066_gene6744,annotation&nbsp;not&nbsp;available,71.8
1437882.AZRU01000030_gene190,AZRU01000030_gene190,annotation&nbsp;not&nbsp;available,71.7
1437882.AZRU01000064_gene7067,AZRU01000064_gene7067,annotation&nbsp;not&nbsp;available,71.7
1437882.AZRU01000011_gene3642,AZRU01000011_gene3642,annotation&nbsp;not&nbsp;available,71.7
1437882.AZRU01000059_gene4148,gshB,annotation&nbsp;not&nbsp;available,71.7
1437882.AZRU01000007_gene3000,AZRU01000007_gene3000,annotation&nbsp;not&nbsp;available,71.6
1437882.AZRU01000094_gene1162,AZRU01000094_gene1162,annotation&nbsp;not&nbsp;available,71.6
1437882.AZRU01000025_gene5825,proS,Proline--tRNA&nbsp;ligase,71.6
1437882.AZRU01000026_gene5972,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,71.6
1437882.AZRU01000003_gene1714,AZRU01000003_gene1714,annotation&nbsp;not&nbsp;available,71.6
1437882.AZRU01000067_gene5423,AZRU01000067_gene5423,annotation&nbsp;not&nbsp;available,71.6
1437882.AZRU01000017_gene6375,AZRU01000017_gene6375,annotation&nbsp;not&nbsp;available,71.6
1437882.AZRU01000075_gene4438,rne,Ribonuclease&nbsp;E,71.6
1437882.AZRU01000037_gene4386,glmM,Phosphoglucosamine&nbsp;mutase,71.6
1437882.AZRU01000018_gene6534,AZRU01000018_gene6534,annotation&nbsp;not&nbsp;available,71.5
1437882.AZRU01000021_gene6193,waaC,annotation&nbsp;not&nbsp;available,71.5
1437882.AZRU01000021_gene6243,AZRU01000021_gene6243,annotation&nbsp;not&nbsp;available,71.5
1437882.AZRU01000018_gene6557,AZRU01000018_gene6557,annotation&nbsp;not&nbsp;available,71.5
1437882.AZRU01000212_gene1028,AZRU01000212_gene1028,annotation&nbsp;not&nbsp;available,71.5
1437882.AZRU01000016_gene3302,AZRU01000016_gene3302,annotation&nbsp;not&nbsp;available,71.5
1437882.AZRU01000004_gene1916,AZRU01000004_gene1916,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000001_gene2234,AZRU01000001_gene2234,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000041_gene4523,AZRU01000041_gene4523,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000048_gene5173,AZRU01000048_gene5173,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000023_gene5709,AZRU01000023_gene5709,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000002_gene2303,AZRU01000002_gene2303,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000010_gene633,AZRU01000010_gene633,Pseudouridine&nbsp;synthase,71.4
1437882.AZRU01000059_gene4118,hisI,Phosphoribosyl-AMP&nbsp;cyclohydrolase,71.4
1437882.AZRU01000007_gene3026,AZRU01000007_gene3026,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000086_gene5525,AZRU01000086_gene5525,annotation&nbsp;not&nbsp;available,71.4
1437882.AZRU01000128_gene5282,AZRU01000128_gene5282,annotation&nbsp;not&nbsp;available,71.3
1437882.AZRU01000001_gene2056,AZRU01000001_gene2056,annotation&nbsp;not&nbsp;available,71.3
1437882.AZRU01000051_gene5399,AZRU01000051_gene5399,annotation&nbsp;not&nbsp;available,71.3
1437882.AZRU01000123_gene4897,AZRU01000123_gene4897,annotation&nbsp;not&nbsp;available,71.3
1437882.AZRU01000054_gene3705,AZRU01000054_gene3705,annotation&nbsp;not&nbsp;available,71.3
1437882.AZRU01000001_gene2131,AZRU01000001_gene2131,annotation&nbsp;not&nbsp;available,71.3
1437882.AZRU01000095_gene1245,AZRU01000095_gene1245,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000211_gene2469,recC,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000002_gene2301,AZRU01000002_gene2301,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000008_gene2870,AZRU01000008_gene2870,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000060_gene4097,AZRU01000060_gene4097,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000017_gene6432,thiL,Thiamine-monophosphate&nbsp;kinase,71.2
1437882.AZRU01000133_gene6717,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,71.2
1437882.AZRU01000082_gene6834,AZRU01000082_gene6834,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000008_gene2909,rpmI,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000001_gene2224,AZRU01000001_gene2224,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000018_gene6539,AZRU01000018_gene6539,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000003_gene1715,AZRU01000003_gene1715,annotation&nbsp;not&nbsp;available,71.2
1437882.AZRU01000013_gene6931,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,71.1
1437882.AZRU01000066_gene6760,AZRU01000066_gene6760,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000005_gene1423,AZRU01000005_gene1423,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000080_gene3960,AZRU01000080_gene3960,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000046_gene5113,AZRU01000046_gene5113,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000086_gene5514,AZRU01000086_gene5514,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000028_gene713,cydB,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000037_gene4368,fur,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000012_gene3500,folB,"7,8-dihydroneopterin&nbsp;aldolase",71.1
1437882.AZRU01000010_gene550,tolR,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000059_gene4119,hisE,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000038_gene5476,AZRU01000038_gene5476,annotation&nbsp;not&nbsp;available,71.1
1437882.AZRU01000013_gene6950,AZRU01000013_gene6950,annotation&nbsp;not&nbsp;available,71.0
1437882.AZRU01000016_gene3335,AZRU01000016_gene3335,annotation&nbsp;not&nbsp;available,71.0
1437882.AZRU01000006_gene1602,AZRU01000006_gene1602,annotation&nbsp;not&nbsp;available,71.0
1437882.AZRU01000008_gene2874,AZRU01000008_gene2874,annotation&nbsp;not&nbsp;available,71.0
1437882.AZRU01000062_gene1186,AZRU01000062_gene1186,annotation&nbsp;not&nbsp;available,71.0
1437882.AZRU01000074_gene5555,AZRU01000074_gene5555,annotation&nbsp;not&nbsp;available,71.0
1437882.AZRU01000047_gene5053,AZRU01000047_gene5053,annotation&nbsp;not&nbsp;available,70.9
1437882.AZRU01000016_gene3249,AZRU01000016_gene3249,annotation&nbsp;not&nbsp;available,70.9
1437882.AZRU01000054_gene3690,fghA,annotation&nbsp;not&nbsp;available,70.9
1437882.AZRU01000005_gene1396,AZRU01000005_gene1396,annotation&nbsp;not&nbsp;available,70.9
1437882.AZRU01000022_gene6298,AZRU01000022_gene6298,annotation&nbsp;not&nbsp;available,70.9
1437882.AZRU01000025_gene5855,AZRU01000025_gene5855,annotation&nbsp;not&nbsp;available,70.9
1437882.AZRU01000039_gene4621,mtnD,Acireductone&nbsp;dioxygenase,70.9
1437882.AZRU01000043_gene4840,AZRU01000043_gene4840,annotation&nbsp;not&nbsp;available,70.9
1437882.AZRU01000089_gene7018,AZRU01000089_gene7018,annotation&nbsp;not&nbsp;available,70.8
1437882.AZRU01000011_gene3579,AZRU01000011_gene3579,annotation&nbsp;not&nbsp;available,70.8
1437882.AZRU01000044_gene6631,AZRU01000044_gene6631,annotation&nbsp;not&nbsp;available,70.8
1437882.AZRU01000044_gene6628,AZRU01000044_gene6628,annotation&nbsp;not&nbsp;available,70.8
1437882.AZRU01000009_gene866,AZRU01000009_gene866,annotation&nbsp;not&nbsp;available,70.8
1437882.AZRU01000001_gene2183,AZRU01000001_gene2183,annotation&nbsp;not&nbsp;available,70.7
1437882.AZRU01000030_gene154,AZRU01000030_gene154,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliG,70.7
1437882.AZRU01000038_gene5498,rnt,annotation&nbsp;not&nbsp;available,70.7
1437882.AZRU01000036_gene317,AZRU01000036_gene317,Ferredoxin,70.7
1437882.AZRU01000211_gene2548,AZRU01000211_gene2548,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000003_gene1656,AZRU01000003_gene1656,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000016_gene3289,allA,Ureidoglycolate&nbsp;lyase,70.6
1437882.AZRU01000057_gene4207,AZRU01000057_gene4207,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000034_gene457,AZRU01000034_gene457,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000005_gene1450,AZRU01000005_gene1450,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000031_gene99,AZRU01000031_gene99,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000211_gene2610,AZRU01000211_gene2610,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000048_gene5183,AZRU01000048_gene5183,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000016_gene3342,AZRU01000016_gene3342,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000025_gene5922,AZRU01000025_gene5922,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000038_gene5505,AZRU01000038_gene5505,annotation&nbsp;not&nbsp;available,70.6
1437882.AZRU01000084_gene6774,topA,DNA&nbsp;topoisomerase&nbsp;1,70.5
1437882.AZRU01000155_gene4337,AZRU01000155_gene4337,annotation&nbsp;not&nbsp;available,70.5
1437882.AZRU01000014_gene3173,AZRU01000014_gene3173,annotation&nbsp;not&nbsp;available,70.5
1437882.AZRU01000049_gene5240,AZRU01000049_gene5240,annotation&nbsp;not&nbsp;available,70.5
1437882.AZRU01000051_gene5379,AZRU01000051_gene5379,annotation&nbsp;not&nbsp;available,70.5
1437882.AZRU01000052_gene3851,AZRU01000052_gene3851,annotation&nbsp;not&nbsp;available,70.5
1437882.AZRU01000019_gene6042,AZRU01000019_gene6042,annotation&nbsp;not&nbsp;available,70.5
1437882.AZRU01000017_gene6390,hemL,annotation&nbsp;not&nbsp;available,70.5
1437882.AZRU01000012_gene3431,tyrS,Tyrosine--tRNA&nbsp;ligase,70.4
1437882.AZRU01000014_gene3133,AZRU01000014_gene3133,annotation&nbsp;not&nbsp;available,70.4
1437882.AZRU01000005_gene1413,AZRU01000005_gene1413,annotation&nbsp;not&nbsp;available,70.4
1437882.AZRU01000016_gene3282,AZRU01000016_gene3282,annotation&nbsp;not&nbsp;available,70.4
1437882.AZRU01000040_gene4682,ppnP,Pyrimidine/purine&nbsp;nucleoside&nbsp;phosphorylase,70.4
1437882.AZRU01000001_gene2015,dut,Deoxyuridine&nbsp;5'-triphosphate&nbsp;nucleotidohydrolase,70.4
1437882.AZRU01000026_gene5924,hrpB,annotation&nbsp;not&nbsp;available,70.4
1437882.AZRU01000098_gene1101,AZRU01000098_gene1101,annotation&nbsp;not&nbsp;available,70.4
1437882.AZRU01000017_gene6419,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,70.4
1437882.AZRU01000047_gene5085,AZRU01000047_gene5085,annotation&nbsp;not&nbsp;available,70.4
1437882.AZRU01000041_gene4479,AZRU01000041_gene4479,annotation&nbsp;not&nbsp;available,70.3
1437882.AZRU01000034_gene425,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,70.3
1437882.AZRU01000015_gene3381,AZRU01000015_gene3381,annotation&nbsp;not&nbsp;available,70.3
1437882.AZRU01000042_gene4586,AZRU01000042_gene4586,annotation&nbsp;not&nbsp;available,70.3
1437882.AZRU01000001_gene2091,AZRU01000001_gene2091,annotation&nbsp;not&nbsp;available,70.3
1437882.AZRU01000019_gene6096,AZRU01000019_gene6096,annotation&nbsp;not&nbsp;available,70.3
1437882.AZRU01000076_gene1135,lcdH,L-carnitine&nbsp;dehydrogenase,70.3
1437882.AZRU01000017_gene6372,AZRU01000017_gene6372,annotation&nbsp;not&nbsp;available,70.2
1437882.AZRU01000113_gene4973,AZRU01000113_gene4973,annotation&nbsp;not&nbsp;available,70.2
1437882.AZRU01000002_gene2283,AZRU01000002_gene2283,annotation&nbsp;not&nbsp;available,70.2
1437882.AZRU01000092_gene1283,AZRU01000092_gene1283,annotation&nbsp;not&nbsp;available,70.2
